,Harga(m2)
554,9500000
555,8100000
556,11900000
557,360000
558,200000
559,1100000
560,7800000
561,3100000
562,710000
563,7553500
564,4430000
565,2300000
566,7000000
567,4000000
568,4000000
569,3500000
570,720000
571,720000
572,1350000
573,5200000
574,4860000
575,13500000
576,1000000
577,3127000
578,5100000
579,5300000
580,5800000
581,13350000
582,645000
583,1300000
584,7700000
585,1050000
586,3900000
587,8700000
588,3500000
589,2720000
590,310000
591,2670000
592,480000
593,950000
594,1000000
595,8600000
596,6110000
597,6900000
598,13300000
599,8100000
600,2900000
601,1100000
602,1969128
603,7800000
604,6400000
605,5800000
606,0
607,6700000
608,716000
609,11300000
610,9450000
611,526000
612,3600000
613,1600000
614,4300000
615,4800000
616,2130000
617,1820000
618,7200000
619,7000000
620,7500000
621,5700000
622,11650000
623,5300000
624,4700000
625,5500000
626,5700000
627,5500000
628,5000000
629,8100000
630,700000
631,5400000
632,750000
633,7200000
634,5900000
635,15787000
636,5900000
637,180000
638,800000
639,1150000
640,700000
641,5500000
642,14200000
643,970000
644,9000000
645,1500000
646,6300000
647,1600000
648,4640000
649,600000
650,700000
651,3300000
652,1100000
653,170000
654,5600000
655,4600000
656,7000000
657,15000000
658,1190000
659,820000
660,4600000
661,600000
662,900000
663,4730000
664,680000
665,2500000
666,3500000
667,3500000
668,820000
669,550000
670,5200000
671,600000
672,700000
673,5600000
674,146000
675,12000000
676,5600000
677,4500000
678,5100000
679,19600000
680,5700000
681,700000
682,8900000
683,5500000
684,2800000
685,5800000
686,4400000
687,1300000
688,1070000
689,720000
690,480000
691,5000000
692,580000
693,36657276
694,5200000
695,21300000
696,3000000
697,2100000
698,380000
699,3800000
700,12700000
701,2950000
702,18600000
703,4406000
704,385000
705,1750000
706,3100000
708,2845000
709,6400000
710,2400000
711,1328000
712,4085000
713,5660000
714,1750000
715,700000
716,300000
717,0
718,5300000
719,34650000
720,31610526
721,32021052
722,14352857
723,2900000
724,5600000
725,1050000
726,150000
727,8500000
728,8500000
729,6800000
730,7800000
731,32472000
732,8000000
733,4900000
734,2300000
735,1080000
736,1381775
737,1400000
738,28258196
739,234225
740,58565000
741,4700000
742,6560000
743,1100000
744,5200000
745,3500000
746,3136625
747,800000
748,2900000
749,36975000
750,326000
751,2900000
752,119000
753,490000
754,945000
755,1500000
756,1330000
757,2800000
758,4400000
759,220000
760,360000
761,4160000
762,5400000
763,2640000
764,1400000
765,3000000
766,8000000
767,1300000
768,462000
769,240000
770,1400000
771,1100000
772,1120000
773,1500000
774,710000
775,1860000
776,512000
777,172000
778,654000
779,3900000
780,1180000
781,1300000
782,3100000
783,7500000
784,2000000
785,620000
786,330000
787,300000
788,3300000
789,2550000
790,1800000
791,8470000
792,1400000
793,1630000
794,7500000
795,400000
796,10300000
798,3000000
799,5200000
800,4800000
801,4800000
802,4100000
803,240000
804,1200000
805,180000
806,2779000
807,3800000
808,6000000
809,17209795
810,3600000
811,4800000
812,4400000
813,5200000
814,6600000
815,1000000
816,6000000
817,4200000
818,4700000
819,520000
820,5400000
821,6380000
822,13300000
823,6000000
824,5850000
825,11400000
826,4300000
827,6000000
828,4600000
829,6200000
830,480000
831,4900000
832,18168750
833,3180000
834,632000
835,530000
836,2000000
837,1200000
838,9700000
839,7800000
840,3400000
841,5300000
842,1090000
843,1300000
844,1500000
845,1900000
846,1100000
847,3000000
848,1100000
849,1000000
850,3780000
851,3500000
852,2800000
853,740000
854,400000
855,52000
856,320000
857,3600000
858,49000
859,50000
860,45000
861,7200000
862,5500000
863,5300000
864,7694960
865,2100000
866,2100000
867,11000000
868,3800000
869,15331343
870,15331343
871,1260000
872,20295000
873,20045454
874,1200000
875,605000
876,6000000
877,11500000
878,820000
879,966346
880,39232631
881,5200000
