No,Lokasi Aset,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Provinsi,Tanah, Bangunan 1 , Bangunan 2 , Bangunan 3 , Bangunan 4 , Bangunan 5 , Bangunan 6 , Bangunan 7 , Bangunan 8 , Bangunan 9 , Bangunan 10 , Bangunan 11 , Bangunan 12 , Bangunan 13 , Bangunan 14 , Bangunan 15 , Bangunan 16 , Bangunan 17 , Bangunan 18 , Bangunan 19 , Bangunan 20 , Sarana Pelengkap (SPL) ,Jumlah,Jumlah (Pembulatan), Tanah (m²),Bangunan 1 (m²),Bangunan 2 (m²),Bangunan 3 (m²),Bangunan 4(m²),Bangunan 5 (m²),Bangunan 6 (m²),Bangunan 7 (m²),Bangunan 8 (m²),Bangunan 9 (m²),Bangunan 10 (m²),Bangunan 11 (m²),Bangunan 12 (m²),Bangunan 13 (m²),Bangunan 14 (m²),Bangunan 15 (m²),Bangunan 16 (m²),Bangunan 17 (m²),Bangunan 18 (m²),Bangunan 19 (m²),Bangunan 20 (m²)
480,"Jalan Raya Singaraja-Gilimanuk (Masuk), Lingkungan Banjar Dinas Sari Mekar",Desa Pumeteran,Kecamatan Gerokgak,Kabupaten Buleleng,Bali," Rp792,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp792,000,000 "," Rp792,000,000 ",3300,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
481,Jalan TGH. Faesal,Kelurahan Turida,Kecamatan Sandubaya,Kota Mataram,Nusa Tenggara Barat," Rp21,903,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp21,903,000,000 "," Rp21,903,000,000 ",6444,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,Perumahan Cokroland Residence Blok A 11,Desa Ubung Kaja,Kecamatan Denpasar Utara,Kota Denpasar,Bali," Rp316,200,000 "," Rp406,080,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp19,324,000 "," Rp741,604,000 "," Rp741,604,000 ",62,72,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
483,Jalan Uluwatu I No. 24,Kelurahan Jimbaran,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp4,808,000,000 "," Rp403,546,000 "," Rp472,192,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp54,256,000 "," Rp5,737,994,000 "," Rp5,737,994,000 ",400,166,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,Jalan Ceningan Sari IV Gang Cempaka No. 21,Kelurahan Sesetan,Kecamatan Denpasar Selatan,Kota Denpasar,Bali," Rp573,300,000 "," Rp189,150,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ,, Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp11,651,000 "," Rp774,101,000 "," Rp774,101,000 ",130,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,Jalan SMK I No. 7,Desa Batubulan,Kecamatan Sukawati,Kabupaten Gianyar,Bali," Rp4,060,000,000 "," Rp1,222,800,000 "," Rp770,592,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp221,669,000 "," Rp6,275,061,000 "," Rp6,275,061,000 ",700,300,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,Jalan Raya Denpasar-Gilimanuk,Desa Antap,Kecamatan Selemadeg,Kabupateb Tabanan,Bali," Rp3,040,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ,, Rp- ,, Rp- , Rp- , Rp- ," Rp3,040,000,000 "," Rp3,040,000,000 ",4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,Jalan Raya Plampang-Empang (Jalan Lintas Sumbawa-Bima) Dusun Ai Boro,Desa Teluk Santong,Kecamatan Plampang,Kabupaten Sumbawa,Nusa Tenggara Barat," Rp2,566,300,000 "," Rp6,596,640,000 "," Rp2,757,348,000 "," Rp718,200,000 "," Rp154,524,000 "," Rp173,030,000 "," Rp141,360,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp1,567,170,000 "," Rp14,674,572,000 "," Rp14,675,000,000 ",58325,3240,1188,285,158,130,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,"Jalan Rtana (Masuk), Lingkungan Banjar Dinas Pengabetan",Desa Baha,Kecamatan Mengwi,Kabupaten Badung,Bali," Rp2,100,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- ,, Rp- ,, Rp- , Rp- , Rp- ,, Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp2,100,000,000 ", Rp- ,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,Jalan Merpati,Desa Pecatu,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp2,800,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp2,800,000,000 "," Rp2,800,000,000 ",1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,Jalan Pura Cupitan (Masuk),Desa Pecatu,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp14,600,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp14,600,000,000 "," Rp14,600,000,000 ",7300,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
