No,Lokasi Aset,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Provinsi,Tanah, Bangunan 1 , Bangunan 2 , Bangunan 3 , Bangunan 4 , Bangunan 5 , Bangunan 6 , Bangunan 7 , Bangunan 8 , Bangunan 9 , Bangunan 10 , Bangunan 11 , Bangunan 12 , Bangunan 13 , Bangunan 14 , Bangunan 15 , Bangunan 16 , Bangunan 17 , Bangunan 18 , Bangunan 19 , Bangunan 20 , Sarana Pelengkap (SPL) ,Jumlah,Jumlah (Pembulatan), Tanah (m²),Bangunan 1 (m²),Bangunan 2 (m²),Bangunan 3 (m²),Bangunan 4(m²),Bangunan 5 (m²),Bangunan 6 (m²),Bangunan 7 (m²),Bangunan 8 (m²),Bangunan 9 (m²),Bangunan 10 (m²),Bangunan 11 (m²),Bangunan 12 (m²),Bangunan 13 (m²),Bangunan 14 (m²),Bangunan 15 (m²),Bangunan 16 (m²),Bangunan 17 (m²),Bangunan 18 (m²),Bangunan 19 (m²),Bangunan 20 (m²)
1,Jalan Pudak Gang IV,Desa Kaliasem,Kecamatan Banjar,Kabupaten Buleleng,Bali," Rp507,600,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp507,600,000 "," Rp507,600,000 ",600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Jalan Pudak Gang IV,Desa Kaliasem,Kecamatan Banjar,Kabupaten Buleleng,Bali," Rp261,900,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp261,900,000 "," Rp261,900,000 ",300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Jalan Surapati No. 19,Kelurahan Dangin Puri,Kecamatan Denpasar Timur,Kota Denpasar,Bali," Rp18,368,000,000 "," Rp261,259,000 "," Rp228,060,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp31,784,000 "," Rp18,889,103,000 "," Rp18,889,100,000 ",1312,137,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Jalan Karang Bayan, Perumahan Kampung Wisata",Desa Karang Bayan,Kecamatan Lingsar,Kabupaten Lombok Barat,Nusa Tenggara Barat," Rp15,323,252,000 "," Rp110,160,000 "," Rp231,660,000 "," Rp538,112,000 "," Rp149,916,000 "," Rp12,100,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp155,840,000 "," Rp16,521,040,000 "," Rp16,521,000,000 ",33901,30,60,128,156,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Jalan Kresek No. 12,Kelurahan Sesetan,Kecamatan Denpasar Selatan,Kota Denpasar,Bali," Rp14,437,500,000 "," Rp3,828,264,000 "," Rp486,720,000 "," Rp326,700,000 "," Rp962,320,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp233,969,000 "," Rp20,275,473,000 "," Rp20,275,500,000 ",2625,748,104,121,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Perum. Bhuana Asri Bungkulan,Desa Bungkulan,Kecamatan Sawan,Kabupaten Buleleng,Bali," Rp64,000,000 "," Rp52,920,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp116,920,000 "," Rp116,920,000 ",80,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Jalan Bambu Kuning Utama No. 16,Desa Canggu,Kecamatan Kuta Utara,Kabupaten Badung,Bali," Rp728,000,000 "," Rp625,959,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp11,611,000 "," Rp1,365,570,000 "," Rp1,366,000,000 ",130,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Jalan Pulau Kawe No. 61,Kelurahan Pedungan,Kecamatan Denpasar Selatan,Kota Denpasar,Bali," Rp11,029,500,000 "," Rp616,032,000 "," Rp44,040,000 "," Rp41,446,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp27,340,000 "," Rp11,758,358,000 "," Rp11,758,400,000 ",950,279,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Jalan Singasari, Perumahan Uma Punggul III, Br. Tag-Tag Kaja",Kelurahan Peguyangan,Kecamatan Denpasar Utara,Kota Denpasar,Bali," Rp450,000,000 "," Rp812,724,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp21,051,000 "," Rp1,283,775,000 "," Rp1,283,800,000 ",150,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Jalan Desa Pangkungparuk (Masuk),Desa Pangkungparuk,Kecamatan Seririt,Kabupaten Buleleng,Bali," Rp495,000,000 "," Rp368,340,000 "," Rp279,956,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp49,902,000 "," Rp1,193,198,000 "," Rp1,193,200,000 ",900,210,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Jalan Raya Baturiti,Desa Baturiti,Kecamatan Baturiti,Kabupaten Tabanan,Bali," Rp3,875,000,000 "," Rp226,692,000 "," Rp178,368,000 "," Rp114,539,000 "," Rp82,985,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp44,563,000 "," Rp4,522,147,000 "," Rp4,522,147,000 ",1550,54,48,47,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Lingkungan Kampung Loji,Desa Pulukan,Kecamatan Pekutatan,Kabupaten Jembrana,Bali," Rp1,249,500,000 "," Rp251,550,000 "," Rp154,318,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp1,655,368,000 "," Rp1,655,400,000 ",1470,86,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Jalan Wana Segara No. 2-5, Condotel Aston Kuta & Residence",Kelurahan Kuta,Kecamatan Kuta,Kabupaten Badung,Bali," Rp72,059,604,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp72,059,604,000 "," Rp72,059,604,000 ",2539.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Jalan mangku Made Sudana I (Masuk),Desa Megati,Kecamatan Selemadeg Timur,Kabupaten Tabanan,Bali," Rp1,054,500,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp1,054,500,000 "," Rp1,054,500,000 ",925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Jalan Gunung Himalaya II (Masuk) No. 25,Desa Pemecutan,Kecamatan Denpasar Utara,Kota Denpasar,Bali," Rp871,200,000 "," Rp370,974,000 "," Rp363,936,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp18,599,000 "," Rp1,624,709,000 "," Rp1,624,700,000 ",198,102,102,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
16,"Jalan Noja Saraswati, Perumahan Permata Hijau Blok B-1",Kelurahan Tonja,Kecamatan Denpasar Utara,Kota Denpasar,Bali," Rp890,000,000 "," Rp302,688,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp30,684,000 "," Rp1,223,372,000 "," Rp1,223,372,000 ",178,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
17,Perumahan Grya Adi Sangket 1 Blok C No. 2,Kelurahan Sukasada,Kecamatan Sukasada,Kabupaten Buleleng,Bali," Rp78,440,000 "," Rp79,488,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp157,928,000 "," Rp157,928,000 ",74,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Perum Grya Asri Temukus,Desa Temukus,Kecamataan Banjar,Kabupaten Buleleng,Bali," Rp90,415,000 "," Rp28,800,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp119,215,000 "," Rp119,215,000 ",107,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Jalan Pulau Moyo, Perumahan Nuansa Pedungan 1 No. 37",Kelurahan Pedungan,Kecamatan Denpasar,Kota Denpasar,Bali," Rp1,689,200,000 "," Rp956,800,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp29,575,000 "," Rp2,675,575,000 "," Rp2,675,600,000 ",206,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Jalan Wr. Supratman Gang III No.2,Desa Kesiman Kertalangu,Kecamatan Denpasar Timur,Kota Denpasar,Bali," Rp1,350,000,000 "," Rp384,290,000 "," Rp18,630,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp30,625,000 "," Rp1,783,545,000 "," Rp1,783,500,000 ",300,166,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Jalan Sahadewa Gang Nakula (Masuk), Lingkungan Banjar Dinas Umacandi",Desa Buduk,Kecamatan Mengwi,Kabupaten Badung,Bali," Rp325,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp325,000,000 "," Rp325,000,000 ",130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Ayana Residences, Bougaivillea Tower Lantai I No. B. 1A, B. 2A dan Lantai II No. B.2A, B.2B, Jalan Lingkungan Ayana Residences",Kelurahan Jimbaran,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp18,717,600,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp18,717,600,000 "," Rp18,717,600,000 ",0,389.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Jalan Sari Gading 81/81A,Desa Dangin Puri Kaja,Kecamatan Denpasar Utara,Kota Denpasar,Bali," Rp6,300,000,000 "," Rp441,090,000 "," Rp85,520,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp36,642,000 "," Rp6,863,252,000 "," Rp6,863,300,000 ",600,174,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Perumahan Bali Amertha Panji Blok E No. 1,Desa Panji,Kecamatan Sukasada,Kabupaten Buleleng,Bali," Rp180,000,000 "," Rp158,076,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp338,076,000 "," Rp338,076,000 ",100,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Jalan Raya Denpasar-Gilimanuk (Masuk),Desa Bantas,Kecamatan Selemadeg Timur,Kabupaten Tabanan,Bali," Rp1,398,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp1,398,000,000 "," Rp1,398,000,000 ",600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Jalan Gunung Guntur Gang VIII No. 4,Kelurahan Padangsambian,Kecamatan Denpasar Barat,Kota Denpasar,Bali," Rp791,700,000 "," Rp284,432,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp18,887,000 "," Rp1,095,019,000 "," Rp1,095,000,000 ",195,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Jember Town Square (JETOS), Jalan Kaliurang No.1",Kelurahan Sumbersari,Kecamatan Sumbersari,Kabupaten Jember,Jawa Timur," Rp21,370,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp21,370,000,000 "," Rp21,370,000,000 ",9936,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Jalan KH. Ahmad Dahlan Perumahan Citra Persada Nyamarai (Masuk),Desa karang Bongkot,Kecamatan Labuapi,Kabupaten Lombok Barat,Nusa Tenggara Barat," Rp2,057,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp2,057,000,000 "," Rp2,057,000,000 ",4130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Jalan Raya Basangkasa,Kelurahan Seminyak,Kecamatan Kuta,Kabupaten BAdung,Bali," Rp6,435,000,000 "," Rp1,264,770,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp12,028,000 "," Rp7,711,798,000 "," Rp7,711,800,000 ",330,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Jalan Pantai Indah VI No. 12,Desa Baktiseraga,Kecamatan Buleleng,Kabupaten Buleleng,Bali," Rp2,016,000,000 "," Rp567,336,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp48,498,000 "," Rp2,631,834,000 "," Rp2,631,800,000 ",800,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Jalan Mayapada,Kelurahan Benoa,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp380,000,000 "," Rp188,440,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ,, Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp10,359,000 "," Rp578,799,000 "," Rp578,799,000 ",100,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Perumahan Griya Idaman Asri 5, Jalan SMP N 2 Banyuglugur",Desa Banyuglugur,Kecamatan Banyuglugur,Kabupaten Situbondo,Jawa Timur," Rp7,297,300,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp7,297,300,000 "," Rp7,297,300,000 ",4926,1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,Jalan Ahmad Yani,Kelurahan Subagan,Kecamatan Karangasem,Kabupaten Karangasem,Bali," Rp3,320,000,000 "," Rp1,240,328,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp79,282,000 "," Rp4,639,610,000 "," Rp4,639,600,000 ",1660,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Jalan Perumahan Kedungringin Indah,Desa Kedungrejo,Kecamatan Muncar,Kabupaten Banyuwangi,Jawa Timur," Rp858,330,000 "," Rp18,560,000 "," Rp80,724,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp21,424,000 "," Rp979,038,000 "," Rp979,000,000 ",918,16,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Jalan Raya Situbondo-Bondowoso,Desa Kotakan,Kecamatan Situbondo,Kabupaten Situbondo,Jawa Timur," Rp3,291,480,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ,, Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp3,291,480,000 "," Rp3,291,480,000 ",3690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Jalan Taman Sari Gang Dahlia No.88,Kelurahan Tuban,Kecamatan Kuta,Kabupaten Badung,Bali," Rp1,800,000,000 "," Rp426,195,000 "," Rp426,195,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp28,146,000 "," Rp2,680,536,000 "," Rp2,680,536,000 ",400,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Jalan Desa Tihingan-Aan (Lingkungan Banjar Pau),Desa Tihingan,Kecamatan Banjarangkan,Kabupaten Klungkung,Bali," Rp480,000,000 "," Rp276,318,000 "," Rp85,512,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp12,921,000 "," Rp854,751,000 "," Rp854,800,000 ",400,153,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Jalan Raya Mavila,Desa Perampuan,Kecamatan Labuapi,Kabupaten Lombok Barat,Nusa Tenggara Barat," Rp2,926,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp2,926,000,000 "," Rp2,926,000,000 ",5098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"Jalan Manduang-Aan (Masuk), Lingkungan Subak PAU",Desa Aan,Kecamatan Banjarangkan,Kabupaten Klungkung,Bali," Rp97,500,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp97,500,000 "," Rp97,500,000 ",250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Jalan Blambangan RT 01 RW 04,Desa Blambangan,Kecamatan Muncar,Kabupaten Banyuwangi,Jawa Timur," Rp3,999,380,000 "," Rp1,283,568,000 "," Rp367,430,000 "," Rp77,700,000 "," Rp69,445,000 "," Rp124,800,000 "," Rp8,028,000 "," Rp15,960,000 "," Rp315,800,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp247,910,000 "," Rp6,510,021,000 "," Rp6,510,000,000 ",5390,1122,406,75,43,75,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Jalan Madrasah,Desa Kedungrejo,Kecamatan Muncar,Kabupaten Bayuwangi,Jawa Timur," Rp2,266,440,000 "," Rp236,946,000 "," Rp2,007,171,000 "," Rp17,490,000 "," Rp3,465,000 "," Rp931,330,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp182,831,000 "," Rp5,645,673,000 "," Rp5,645,700,000 ",1870,102,1548,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Jalan Dewi Sri No. 88,Kelurahan Legian,Kecamatan Kuta,Kabupaten Badung,Bali," Rp4,927,284,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp4,927,284,000 "," Rp4,927,284,000 ",150,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Jalan Gurita I Gang Scorpio No.15,Kelurahan Sesetan,Kecamatan Denpasar Selatan,Kota Denpasar,Bali," Rp567,000,000 "," Rp545,580,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp34,425,000 "," Rp1,147,005,000 "," Rp1,147,005,000 ",105,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"Jalan Nangka Utara, Gang Nangka I, Perum. Taksu Dewata",Kelurahan Tonja,Kecamatan Denpasar Utara,Kota Denpasar,Bali," Rp549,900,000 "," Rp220,460,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp17,780,000 "," Rp788,140,000 "," Rp788,100,000 ",141,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Jalan Taman Baruna Blok Kecubung No. 20,Kelurahan Jimbaran,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp750,000,000 "," Rp153,576,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp10,990,000 "," Rp914,566,000 "," Rp914,566,000 ",150,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Jalan Bisma No. 31,Kelurahan Banjar Tegal,Kecamatan Buleleng,Kabupaten Buleleng,Bali," Rp1,634,000,000 "," Rp732,336,000 "," Rp1,120,500,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp35,157,000 "," Rp3,521,993,000 "," Rp3,521,993,000 ",380,219,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Jalan Tangkuban Perahu (Selatan) No. 101 XX,Desa Padangsambian Klod,Kecamatan Denpasar Barat,Kota Denpasar,Bali," Rp4,000,000,000 "," Rp1,511,712,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp58,736,000 "," Rp5,570,448,000 "," Rp5,570,448,000 ",500,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Jalan Kayu Manis No. 7-8,Desa Canggu,Kecamatan Kuta Utara,Kabupaten Badung,Bali," Rp7,290,000,000 "," Rp433,329,000 "," Rp275,631,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp259,117,000 "," Rp8,258,077,000 "," Rp8,258,000,000 ",810,123,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Perumahan Puri Perdana Dewi Blok C No. 17,Desa Panji,Kecamatan Sukasada,Kabupaten Buleleng,Bali," Rp70,000,000 "," Rp97,320,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp167,320,000 "," Rp167,300,000 ",70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"Perumahan Tri Brata, Jalan Raya Munggu",Desa Cepaka,Kecamatan Kediri,Kabupaten Tabanan,Bali," Rp332,100,000 "," Rp373,767,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp11,160,000 "," Rp717,027,000 "," Rp717,027,000 ",123,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Perumahan Graha Sinabun Blok A No.2,Desa Sinabun,Kecamatan Sawan,Kabupaten Buleleng,Bali," Rp87,000,000 "," Rp115,632,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp202,632,000 "," Rp202,632,000 ",100,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
